hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,MaE,Hu,HuE,Tu,Sim,V5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,V4,V3,V2,V1,V0,W,WO,B,Sy,Fel,CoH,CoA,CoU,CoL,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,DN,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,O,Un,P600,P500
105,"Beinn Dorain","02A",,"Ma,M,Sim","1076","3530","NN325378","NN 32557 37847","NN325398","744","332","large cairn","","obvious summit","2001-10-28","","50","377E","232554","737855","56.50287","-4.722157","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,"Carn Mairg","02A",,"Ma,M,Sim","1043","3422","NN684512","NN 68492 51252","NN694549","576","467","large cairn","","obvious summit/Leica RX1250","2022-10-31","","42 51","OL48E OL49W 378E 386W","268490","751260","56.634635","-4.145624","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,"Beinn Achaladair","02A",,"Ma,M,Sim","1038.6","3407","NN344432","NN 34472 43236","NN353434","813","226","small cairn on rock outcrop","","Abney level/Leica Disto D510/Leica RX1250","2020-02-25","","50","377E","234469","743244","56.551909","-4.694515","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,"Carn Gorm","02A",,"Ma,M,Sim","1029.5","3378","NN635500","NN 63518 50063","NN 6410 5136","841.1","188.5","outcrop a few metres E of cairn","higher than outcrop beneath cairn and outcrop 5m to NW","Abney level/Leica RX1250","2023-02-05","","42 51","OL48E OL49W 378E 386W","263516","750071","56.622537","-4.226021","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
112,"Beinn an Dothaidh","02A",,"Ma,M,Sim","1004","3294","NN331408","NN 33180 40860","NN340405","757","247","cairn","","","2001-10-28","","50","377E","233177","740868","56.53013","-4.713981","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,"Meall na Aighean","02A",107,"Hu,M,Sim","981","3219","NN694496","NN 69479 49661","NN689503","845","136","rock 2m N of cairn","rock is 10cm higher than rock in cairn; rock 8m E is as high","Abney level","2009-11-20","","51","OL48E OL49W 378E 386W","269477","749669","56.620627","-4.128741","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,"Meall Garbh (Càrn Mairg Group)","02A",107,"Hu,M,Sim","967.5","3174","NN647516","NN 64709 51678","NN 6550 5183","865.3","102.2","boulder 18m SE of large cairn","large cairn is at NN 64700 51692","Leica RX1250","2023-02-05","previously (2014) noted cairn is now gone","42 51","OL48E OL49W 378E 386W","264707","751686","56.637381","-4.207472","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
120,"Stuc an Lochain [Stuchd an Lochain]","02A",,"Ma,M,Sim","960","3150","NN483448","NN 48308 44832","NN592513","478","482","embedded rock 3m S of cairn","","Abney level","2009-11-20","","51","OL48W 378W","248305","744840","56.570907","-4.470602","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,"Beinn Mhanach","02A",,"Ma,M,Sim","953","3127","NN373411","NN 37374 41132","NN354417","638","315","cairn","","","2001-10-28","","50","OL48W 377E 378W","237371","741140","56.534041","-4.646042","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,"Meall Buidhe","02A",,"Ma,M,Sim","932.1","3058","NN498499","NN 49843 49938","NN 4475 4467","611","321.1","cairn","cairn is highest point of rather flat area","Abney level/Leica RX1250","2019-08-04","","51","OL48W 378W","249840","749946","56.617231","-4.448608","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
141,"Ben Lawers","02B",,"Ma,M,Sim,CoH, CoU,CoA","1214","3983","NN635414","NN 63554 41416","NN292538","299","915","trig point","rock 5m N is of very similar height","Abney level","2020-01-05","Added to Trail 100 list Jan 2020","51","OL48E 378E","263552","741424","56.544921","-4.220876","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
142,"An Stuc","02B",143,"Hu,M,Sim","1117.1","3665","NN638431","NN 63893 43094","NN640432","991","126","large rock 25m NE of cairn","cairn is at NN 63877 43079","Leica RX1250","2016-10-11","","51","OL48E 378E","263891","743102","56.560084","-4.216248","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
143,"Meall Garbh (Lawers Group)","02B",,"Ma,M,Sim","1123.1","3685","NN644437","NN 64440 43750","NN635426","925","198","small cairn","","Leica RX1250","2016-10-11","","51","OL48E 378E","264438","743758","56.566131","-4.207698","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
144,"Beinn Ghlas","02B",141,"Hu,M,Sim","1103","3619","NN625404","NN 62531 40455","NN630411","996","107","cairn","","obvious summit","2009-11-20","","51","OL48E 378E","262529","740463","56.535996","-4.236992","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
145,"Beinn Sheasgarnaich [Beinn Heasgarnich]","02B",,"Ma,M,Sim","1077.4","3535","NN413383","NN 41383 38329","NN 4471 3924","498.4","579","large cairn","ground 55-60m N may be as high","Abney level/Leica RX1250","2015-08-22","","51","OL48W 378W","241380","738337","56.510254","-4.579217","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
146,"Meall Corranaich","02B",,"Ma,M,Sim","1069","3507","NN615410","NN 61536 41040","NN620407","867","202","cairn","","obvious summit","2001-10-28","","51","OL48E 378E","261533","741048","56.540955","-4.25347","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
148,"Creag Mhor","02B",,"Ma,M,Sim","1046.8","3434","NN391361","NN 39153 36103","NN397367","652.8","394","cairn","","Abney level/Leica RX1250","2020-12-24","","50","OL48W 378W","239150","736111","56.489519","-4.614038","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
149,"Meall nan Tarmachan","02B",,"Ma,M,Sim","1043.6","3424","NN585390","NN 58521 38992","NN 5923 4157","549.2","494.4","cairn","","obvious summit/Leica RX1250","2021-10-30","","51","OL48E 378E","258518","739000","56.521673","-4.301344","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,"Meall Ghaordaidh","02B",,"Ma,M,Sim","1039.8","3411","NN514397","NN 51445 39696","NN558413","548","492","trig point in windshelter","","obvious summit/Leica RX1250","2015-05-30","","51","OL48W 378W","251442","739704","56.525809","-4.416654","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
152,"Beinn Challuim [Ben Challum]","02B",,"Ma,M,Sim","1025","3363","NN386322","NN 38688 32227","NN378330","575","450","cairn","","","2001-10-28","","50","OL48W 377E 378W","238685","732235","56.454573","-4.619184","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
154,"Meall Greigh","02B",,"Ma,M,Sim","1001","3284","NN674438","NN 67402 43799","NN657440","834","167","cairn","","","2012-08-15","","51","OL48E 378E","267400","743807","56.567417","-4.159559","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
158,"Meall Glas","02B",,"Ma,M,Sim","959.3","3147","NN431321","NN 43150 32186","NN397295","405","554","cairn on small outcrop","","obvious summit/Leica RX1250","2021-10-30","","51","OL48W 378W","243147","732194","56.455711","-4.546837","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
163,"Meall a' Choire Leith","02B",,"Ma,M,Sim","925.6","3037","NN612438","NN 61251 43874","NN 6144 4308","775.1","150.5","rock c 20m S of cairn","","Abney level/Leica RX1250","2016-10-11","","51","OL48E 378E","261249","743882","56.566312","-4.259617","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
165,"Sgiath Chuil","02B",,"Ma,M,Sim","920.1","3019","NN462317","NN 46294 31786","NN454325","609","311","cairn on outcrop","","Abney level/Leica RX1250","2020-03-31","","51","OL48W 378W","246291","731794","56.453157","-4.495638","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
178,"Aonach Eagach - Sgorr nam Fiannaidh","03A",,"Ma,M,Sim","967.7","3175","NN140583","NN 14047 58297","NN414599","345","623","remains of trig point","","obvious summit/Leica RX1250","2017-12-13","","41","384","214043","758306","56.679387","-5.037143","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
179,"Aonach Eagach - Meall Dearg","03A",178,"Hu,M,Sim","952.3","3124","NN161583","NN 16130 58356","NN 15140 58365","832.1","120.3","cairn","","obvious summit/Leica RX1250","2020-03-31","","41","384","216126","758365","56.68074","-5.003235","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
191,"Bidean nam Bian","03B",,"Ma,M,Sim,CoH","1149.4","3771","NN143542","NN 14345 54201","NN206560","305","844","cairn","top 200m WNW at NN141542 is lower","Abney level/Leica RX1250","2015-10-10","","41","384","214341","754210","56.642759","-5.029335","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
194,"Stob Coire Sgreamhach","03B",191,"Hu,M,Sim","1072","3517","NN154536","NN 15491 53655","NN150536","944","128","cairn","ground 50m W is about 1m lower","Abney level","2009-11-20","","41","384","215487","753664","56.638314","-5.010284","S","",0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
195,"Beinn a' Bheithir - Sgorr Dhearg","03B",,"Ma,M,Sim","1024.2","3360","NN056558","NN 05688 55838","NN051543","295","729","embedded rock","rock is 3m N of remains of trig point base; cairn no longer present","Abney level/Leica RX1250","2023-02-05","","41","384","205684","755847","56.65393","-5.171511","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
196,"Buachaille Etive Mor - Stob Dearg","03B",,"Ma,M,Sim","1021.4","3351","NN222542","NN 22266 54245","NN183529","489","532","outcrop near cairn on path","embedded rock by main cairn 115m NE at NN 22364 54312 is 0.2m lower","Leica RX1250","2013-11-23","","41","384","222263","754254","56.646228","-4.900377","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
198,"Beinn a' Bheithir - Sgorr Dhonuill","03B",,"Ma,M,Sim","1002.1","3288","NN040555","NN 04054 55535","NN 0479 5544","757","245.1","embedded rock 8m WNW of cairn","rock is higher than any visible embedded rocks in cairn","Abney level/Leica RX1250","2023-02-05","","41","384","204050","755544","56.650531","-5.19789","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
199,"Sgurr na h-Ulaidh [Sgor na h-Ulaidh]","03B",,"Ma,M,Sim","994","3261","NN111517","NN 11121 51785","NN130524","579","415","cairn","","Leica RX1250","2023-02-05","summit surveyed at 994.0m","41","384","211117","751794","56.619796","-5.08006","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
201,"Beinn Fhionnlaidh","03B",,"Ma,M,Sim","959","3146","NN095497","NN 09512 49760","NN111506","449","510","outcrop 10m ESE of trig point","trig point is at NN 09502 49764","","2015-08-21","","50","384","209508","749769","56.600978","-5.104749","S","",0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
